demo_indx,prefix_type,layer_indx,head_indx,cfs_lab_same,cfs_lab,cfs_prec_lab_same,cfs_prec_lab,cfs_lab_ratio,cfs_prec_lab_ratio,cfs_lab_prime,cfs_prec_lab_prime
3,1,10,10,0.0067981924,0.020148661,0.008626447,0.025035156,0.34816474,0.33274963,0.00012295855,0.00042209183
3,1,10,11,0.002433892,0.007015221,0.0025142794,0.0075696637,0.3283272,0.3228316,0.00014322794,-1.3412823e-05
3,1,10,12,0.0016980383,0.0046540424,0.0056934785,0.01273399,0.35485208,0.38380685,0.00022003625,0.0021732226
3,1,10,13,0.0074316985,0.022048647,0.018677922,0.05668878,0.33654642,0.33281368,0.00012322476,-0.00032750927
3,1,10,14,0.021464726,0.05367358,0.0015636713,0.004630335,0.3410588,0.32396078,0.0053602997,3.033907e-05
3,1,10,15,0.065067254,0.19267443,0.026746668,0.077848956,0.3359604,0.34403932,0.0012636737,0.0011955245
3,1,11,0,0.17185023,0.3101004,0.0031814438,0.011565217,0.47258693,0.30867365,0.10272516,-0.0010104431
3,1,11,1,0.025598787,0.07935548,0.0071291416,0.016253117,0.32429963,0.3846673,-0.0012795564,0.002567154
3,1,11,2,0.015008143,0.043518677,0.002418645,0.0067039956,0.34930795,0.3470141,0.0007528765,0.00027596953
3,1,11,3,0.0012105416,0.0050265472,0.052469574,0.15462297,0.31230217,0.3325965,-0.00069746113,0.0013928737
3,1,11,4,0.0055605103,0.015799416,0.004149483,0.011243694,0.33168393,0.33182704,0.00044105714,0.00060237746
3,1,11,5,0.0013943125,0.0037642063,0.0011837226,0.003592453,0.334131,0.32994434,0.00020936556,-2.0642514e-05
3,1,11,6,0.012152911,0.035179425,0.016716061,0.050433807,0.34085786,0.33537278,0.0006396563,-0.00014281392
3,1,11,7,0.02210338,0.09003533,0.028949676,0.06315374,0.28795174,0.4037201,-0.011862591,0.011847644
3,1,11,8,0.010982678,0.032892644,0.023445388,0.060405716,0.32608217,0.3608297,2.7695767e-05,0.004965226
3,1,11,9,0.009904784,0.02944971,0.0066106846,0.017794376,0.33313516,0.322802,0.00013232067,0.0010188387
3,1,11,10,0.00303673,0.009486204,0.005892252,0.01737164,0.3381549,0.3360018,-0.00018800727,0.00015255866
3,1,11,11,0.010261513,0.02690079,0.005984223,0.017347386,0.33663282,0.3248778,0.0019418756,0.00030264177
3,1,11,12,0.0058232145,0.020902073,0.008262684,0.025243899,0.31594723,0.3388514,-0.0017162149,-0.00022792339
3,1,11,13,0.0057097813,0.019446352,0.041297954,0.10997833,0.3274028,0.3535822,-0.0011585047,0.006957766
3,1,11,14,0.001242387,0.0037658876,0.008953041,0.027707057,0.33870435,0.32408336,-1.9363231e-05,-0.00042396702
3,1,11,15,0.106492124,0.30854568,0.01355242,0.044294145,0.36250204,0.31796816,0.0054653394,-0.0018184426
3,1,12,0,0.0028150787,0.0086049335,0.0075863185,0.022895113,0.33172026,0.32804736,-7.984857e-05,-6.807898e-05
3,1,12,1,0.036389504,0.08711532,0.009990113,0.03633581,0.39240733,0.2860301,0.011026593,-0.003182735
3,1,12,2,0.0091113085,0.031589277,0.0063535967,0.016236754,0.33269778,0.3660857,-0.0021276767,0.0014120184
3,1,12,3,0.0063354676,0.019925142,0.020213336,0.057415873,0.33476895,0.3332955,-0.00045937015,0.001612067
3,1,12,4,0.14446403,0.42045408,0.0031856217,0.008630882,0.33232123,0.36232996,0.0064690267,0.0004629915
3,1,12,5,0.07715347,0.21778706,0.008058646,0.023771279,0.3389022,0.34300876,0.006836663,0.00020233111
3,1,12,6,0.03253832,0.105581895,0.022926657,0.043954685,0.35127923,0.4520025,-0.003983464,0.012412643
3,1,12,7,0.005081377,0.016259357,0.009469225,0.025660159,0.32687968,0.33918297,-0.0005076127,0.0013737582
3,1,12,8,0.1013907,0.27875313,0.04323008,0.105792865,0.3555252,0.3659572,0.012709474,0.011948687
3,1,12,9,0.019534145,0.05617434,0.021523269,0.06072122,0.33970085,0.35711288,0.0012140461,0.0019242964
3,1,12,10,0.2551916,0.6443769,0.020717,0.048981924,0.38573703,0.38875332,0.060598917,0.0065845405
3,1,12,11,0.007938342,0.030832687,0.008826868,0.020867024,0.30817443,0.36815497,-0.0035088307,0.002806791
3,1,12,12,0.0031520617,0.008469122,0.0004959978,0.0017766922,0.3528114,0.2963223,0.0004935309,-0.00014434944
3,1,12,13,0.014808144,0.048101228,0.008784916,0.019189376,0.30969897,0.41235206,-0.0018383969,0.0035826853
3,1,12,14,0.006249509,0.017863056,0.011559629,0.034113374,0.33440602,0.31189582,0.0004427348,0.00028275533
3,1,12,15,0.0063800914,0.019217186,0.010069877,0.028211044,0.33658025,0.355611,-3.845684e-05,0.0009992925
3,1,13,0,0.0034568699,0.010728824,0.014781131,0.043081827,0.32342052,0.32193685,-0.00017910711,0.00063078303
3,1,13,1,0.01612935,0.050035212,0.017486066,0.046509184,0.33875912,0.35381174,-0.00082358083,0.0029745046
3,1,13,2,0.007234409,0.022754397,0.0052036312,0.01773109,0.36481014,0.32739207,-0.00052558526,-0.0010600965
3,1,13,3,0.0014275382,0.0040875347,0.0014975342,0.0041289665,0.353451,0.3412722,9.7539945e-05,0.0001818182
3,1,13,4,0.16248626,0.48262227,0.009315161,0.02576341,0.33818698,0.35249457,0.0024182359,0.0010910361
3,1,13,5,0.007955694,0.022281602,0.008848561,0.022730496,0.34696963,0.34133527,0.0007927383,0.0019075947
3,1,13,6,0.0051295683,0.016717112,0.010781961,0.029917112,0.31933665,0.34110412,-0.00066420384,0.001214385
3,1,13,7,0.009670245,0.037492033,0.0049415473,0.008057274,0.3464002,0.4612698,-0.0042406498,0.0033836842
3,1,13,8,0.002643587,0.008156355,0.004959632,0.014266851,0.33633828,0.33450463,-0.00011279687,0.000306023
3,1,13,9,0.023309005,0.06882727,0.020214695,0.05494041,0.34784618,0.35974222,0.0005498717,0.0028518385
3,1,13,10,0.027167644,0.075509824,0.0036884476,0.007882993,0.36934265,0.40028447,0.002996552,0.0015911752
3,1,13,11,0.010077383,0.04924984,0.0013924303,0.002521297,0.3113489,0.47232446,-0.009508846,0.000827997
3,1,13,12,0.012057788,0.034128357,0.01642879,0.044583946,0.3339862,0.3302715,0.0010225031,0.0023512107
3,1,13,13,0.30669174,0.818351,0.003262277,0.009720016,0.37242347,0.3455169,0.050862152,3.340708e-05
3,1,13,14,0.0035194978,0.010609251,0.006583552,0.01942833,0.34028602,0.33201125,-2.5378622e-05,0.00016116288
3,1,13,15,0.0044792374,0.012462186,0.003518081,0.008874189,0.35089397,0.37073117,0.0004877632,0.0008400266
3,1,14,0,0.13807406,0.4500127,0.03249684,0.07590752,0.32766318,0.3745457,-0.017895281,0.010791504
3,1,14,1,0.004023492,0.012072234,0.040093645,0.116010614,0.34130776,0.338278,-8.7955317e-07,0.0021351648
3,1,14,2,0.10487796,0.303323,0.025007475,0.073434465,0.33723527,0.33731735,0.005655431,0.00079398067
3,1,14,3,0.0019432884,0.006097858,0.0008813999,0.0023454132,0.3281548,0.34223533,-0.00013399661,0.00014939322
3,1,14,4,0.013102138,0.03869093,0.00739256,0.017634597,0.3416111,0.3932419,0.0003077427,0.002271542
3,1,14,5,0.006294877,0.018738808,0.015438959,0.042007778,0.3429066,0.34402102,7.291118e-05,0.0021545498
3,1,14,6,0.1539372,0.3909579,0.0021861335,0.0053214943,0.36681426,0.39030543,0.03542687,0.0006184534
3,1,14,7,0.08917653,0.22411808,0.04005993,0.0980418,0.38406745,0.38593844,0.021705741,0.011068999
3,1,14,8,0.0028728447,0.008789081,0.019222341,0.05610548,0.33614928,0.34227166,-8.527362e-05,0.0007807708
3,1,14,9,0.0035895254,0.010018989,0.0023614934,0.006967754,0.32912156,0.31571254,0.00037479334,5.8362853e-05
3,1,14,10,0.0061595584,0.017365608,0.0042433757,0.012853102,0.33955315,0.32198223,0.00055653363,-6.148717e-05
3,1,14,11,0.009311739,0.02790032,0.011416163,0.034631126,0.33858174,0.32289287,1.744932e-05,-0.00019131857
3,1,14,12,0.03290267,0.081479825,0.010552118,0.030148143,0.3484497,0.3260703,0.0086140875,0.000754104
3,1,14,13,0.008190842,0.022935938,0.007145448,0.021433562,0.33066943,0.3260121,0.00081829564,1.3912767e-06
3,1,14,14,0.017432613,0.049417168,0.01688266,0.047531698,0.3394029,0.34242514,0.0014403362,0.0015581411
3,1,14,15,0.029344175,0.07816211,0.010242462,0.038222186,0.37583128,0.30180132,0.004935211,-0.003747399
3,1,15,0,0.02289093,0.065219134,0.002449823,0.0068663815,0.34948277,0.35158294,0.001726826,0.00024154382
3,1,15,1,0.019890826,0.04991005,0.0110039245,0.029082993,0.3457325,0.3429825,0.0048812116,0.00196439
3,1,15,2,0.0074495412,0.022471817,0.06365761,0.17801234,0.34661782,0.34482336,-6.159676e-05,0.0064802445
3,1,15,3,0.023007859,0.070606925,0.044578813,0.122127205,0.34045386,0.34552422,-0.0007916775,0.0058046184
3,1,15,4,0.0007229308,0.002342141,0.0052336985,0.015092159,0.33023918,0.343773,-8.6674176e-05,0.00030446806
3,1,15,5,0.12413268,0.37826437,0.008450306,0.024454996,0.3385909,0.3353593,-0.0029331832,0.00044796034
3,1,15,6,0.01943812,0.05387342,0.007981565,0.021745361,0.3425117,0.34844047,0.0022204698,0.0010996666
3,1,15,7,0.10229812,0.2860694,0.005738337,0.014032203,0.35576743,0.38876656,0.010412469,0.0015914042
3,1,15,8,0.0027257486,0.007709392,0.0012123699,0.0032385255,0.33265772,0.33776832,0.00023392684,0.00019929232
3,1,15,9,0.0010579354,0.0029333492,0.00526116,0.015413441,0.34309375,0.32532436,0.00012022845,0.0001850197
3,1,15,10,0.0021690198,0.006127683,0.0008420215,0.0020943063,0.32949746,0.34360337,0.00018968801,0.00021587909
3,1,15,11,0.016487617,0.047449764,0.004395791,0.010693865,0.33150062,0.35857692,0.001006544,0.0012467538
3,1,15,12,0.00028068622,0.0009698466,0.0002692764,0.00072417245,0.32114506,0.33980292,-6.389396e-05,4.1828353e-05
3,1,15,13,0.003230502,0.008456485,0.0010494455,0.0032357946,0.33999535,0.31661254,0.0006175103,-4.3728993e-05
3,1,15,14,0.001665202,0.0050294837,0.0019509065,0.005856219,0.33606815,0.3220855,-1.6938764e-05,-1.7497689e-06
3,1,15,15,0.014654023,0.039825376,0.012106173,0.026662193,0.36056358,0.38615915,0.0020683452,0.0048281616
3,1,16,0,0.0058660484,0.020074159,0.00155943,0.0033281317,0.32382742,0.42028755,-0.0012380073,0.0006750792
3,1,16,1,0.0007962326,0.0026245092,0.001115349,0.0031701294,0.3277337,0.3472712,-0.000117905714,8.795893e-05
3,1,16,2,0.00878081,0.025049483,0.0031255975,0.008000223,0.3354903,0.3582828,0.0006464724,0.00068828475
3,1,16,3,0.046919588,0.123202555,0.00765719,0.023913566,0.35570663,0.31279695,0.0087781055,-0.00047099864
3,1,16,4,0.0042578247,0.012561788,0.0065218406,0.019832456,0.3431166,0.3342794,0.0001058432,-0.00013346713
3,1,16,5,0.0030660157,0.010692006,0.0011455732,0.002839811,0.32168916,0.35796222,-0.0007469796,0.0002984544
