layer,p
0,0.5
1,0.49400002
2,0.46
3,0.46600002
4,0.492
5,0.462
6,0.514
7,0.514
8,0.51600003
9,0.5465
10,0.49800003
11,0.522
12,0.55
13,0.5025
14,0.53400004
15,0.52400005
16,0.54450005
17,0.49400002
18,0.48000002
19,0.48000002
20,0.48200002
21,0.51000005
22,0.504
23,0.51600003
24,0.50200003
25,0.54
26,0.546
27,0.52500004
28,0.532
