layer,p
0,0.1666667
1,0.16600001
2,0.15900001
3,0.165
4,0.22100002
5,0.21100001
6,0.208
7,0.20400001
8,0.23600002
9,0.23700002
10,0.275
11,0.23700002
12,0.21900001
13,0.326
14,0.363
15,0.35000002
16,0.36
17,0.39600003
18,0.42200002
19,0.462
20,0.462
21,0.45800003
22,0.455
23,0.47100002
24,0.47800002
25,0.47000003
26,0.492
27,0.48400003
28,0.48700002
