layer,p
0,0.3333334
1,0.36200002
2,0.40133336
3,0.36533335
4,0.316
5,0.37333336
6,0.34300002
7,0.33433333
8,0.3466667
9,0.324
10,0.321
11,0.34366667
12,0.38733333
13,0.36100003
14,0.395
15,0.3466667
16,0.367
17,0.36633337
18,0.34500003
19,0.36033335
20,0.3766667
21,0.37133336
22,0.3986667
23,0.379
24,0.388
25,0.35766667
26,0.36400002
27,0.3596667
28,0.35033336
