layer,p
0,0.1666667
1,0.177
2,0.14500001
3,0.172
4,0.202
5,0.158
6,0.17600001
7,0.162
8,0.20300001
9,0.21800001
10,0.279
11,0.238
12,0.202
13,0.231
14,0.22600001
15,0.22800002
16,0.256
17,0.259
18,0.20500001
19,0.20700002
20,0.22600001
21,0.231
22,0.231
23,0.21800001
24,0.224
25,0.23400001
26,0.24200001
27,0.238
28,0.223
