layer,p
0,0.071428575
1,0.141
2,0.147
3,0.178
4,0.24100001
5,0.21000001
6,0.22600001
7,0.22800002
8,0.294
9,0.31
10,0.47900003
11,0.45900002
12,0.467
13,0.52400005
14,0.71300006
15,0.703
16,0.78700006
17,0.536
18,0.62
19,0.514
20,0.634
21,0.648
22,0.70000005
23,0.638
24,0.61300004
25,0.61700004
26,0.59000003
27,0.62200004
28,0.65500003
