pic,p
0,-0.0010000467
1,0.14099997
2,0.20300001
3,0.23700005
4,0.27492857
5,0.31000006
6,0.315
7,0.328
8,0.3440714
9,0.3469286
10,0.36
11,0.35000002
12,0.356
13,0.334
14,0.36799997
15,0.36
16,0.35500002
17,0.33499998
18,0.356
19,0.32000005
20,0.35899997
21,0.36800003
22,0.37
23,0.35300004
24,0.37
25,0.39200002
26,0.37299997
27,0.379
28,0.36792862
29,0.38414282
30,0.3888572
31,0.38700002
32,0.37300003
33,0.389
34,0.384
35,0.41700006
36,0.398
37,0.3969286
38,0.397
39,0.389
