layer,p
0,0.065000005
1,0.074
2,0.093
3,0.071
4,0.11800001
5,0.158
6,0.11100001
7,0.15200001
8,0.177
9,0.133
10,0.14
11,0.119
12,0.108
13,0.072000004
14,0.132
15,0.15900001
16,0.423
17,0.344
18,0.33800003
19,0.124000005
20,0.388
21,0.35300002
22,0.36800003
23,0.39000002
24,0.29900002
25,0.275
26,0.257
27,0.25
28,0.31100002
