layer,p
0,0.31
1,0.35900003
2,0.37500003
3,0.36800003
4,0.402
5,0.356
6,0.335
7,0.33900002
8,0.333
9,0.34
10,0.38900003
11,0.39400002
12,0.48900002
13,0.49500003
14,0.47000003
15,0.51100004
16,0.49100003
17,0.40600002
18,0.51900005
19,0.43
20,0.43100002
21,0.453
22,0.432
23,0.42200002
24,0.35200003
25,0.45200002
26,0.44400004
27,0.42200002
28,0.328
