pic,p
0,0.0
1,-0.002000004
2,0.03400001
3,0.006000012
4,0.09400001
5,0.055999994
6,0.06800002
7,0.14200002
8,0.14800003
9,0.20599997
10,0.17999998
11,0.16799998
12,0.234
13,0.22
14,0.21599999
15,0.28200004
16,0.252
17,0.254
18,0.25200003
19,0.248
20,0.316
21,0.30800003
22,0.27199998
23,0.32200006
24,0.238
25,0.33800003
26,0.306
27,0.34000003
28,0.34600005
29,0.32600003
30,0.36600003
31,0.358
32,0.37200004
33,0.362
34,0.36200002
35,0.42
36,0.38200003
37,0.36
38,0.37800005
39,0.402
