pic,p
0,0.37800002
1,0.476
2,0.64400005
3,0.75600004
4,0.574
5,0.65800005
6,0.77000004
7,0.53200006
8,0.79800004
9,0.71400005
10,0.8540001
11,0.952
12,0.78400004
13,0.81200004
14,1.0220001
15,0.77000004
16,0.882
17,1.274
18,1.1760001
19,1.1060001
20,1.1760001
21,1.4840001
22,1.5540001
23,1.4420002
24,1.47
25,1.6800001
26,1.5540001
27,1.6800001
28,1.722
29,1.876
30,1.974
31,2.086
32,1.792
33,1.8340001
34,2.114
35,2.2400002
36,2.3520002
37,2.198
38,2.1560001
39,2.408
