pic,p
0,0.28500003
1,0.36400002
2,0.58300006
3,0.412
4,0.464
5,0.549
6,0.561
7,0.697
8,0.806
9,0.9410001
10,0.9710001
11,1.0170001
12,1.2700001
13,1.4150002
14,1.3880001
15,1.5970001
16,1.6939999
17,1.791
18,1.9340003
19,2.045
20,2.0620003
21,2.0770001
22,2.2150002
23,2.2520003
24,2.383
25,2.3200002
26,2.4880002
27,2.435
28,2.516
29,2.591
30,2.593
31,2.615
32,2.6160002
33,2.6120002
34,2.662
35,2.704
36,2.736
37,2.7460003
38,2.705
39,2.741
