pic,p
0,1.1390002
1,0.97099996
2,0.95000005
3,0.97800004
4,1.0870001
5,1.113
6,1.1660001
7,1.1950002
8,1.2
9,1.233
10,1.3530002
11,1.38
12,1.3050001
13,1.2490001
14,1.3310001
15,1.409
16,1.3810002
17,1.4560001
18,1.4660001
19,1.39
20,1.4860001
21,1.4710001
22,1.5580003
23,1.529
24,1.556
25,1.569
26,1.5970001
27,1.6260002
28,1.5900002
29,1.5620002
30,1.5350001
31,1.5570002
32,1.6420001
33,1.6060002
34,1.6780002
35,1.5969999
36,1.6850002
37,1.6320001
38,1.704
39,1.6480002
