pic,p
0,0.949
1,1.0020001
2,1.044
3,1.1880001
4,1.2060001
5,1.0860001
6,1.1760001
7,1.3440001
8,1.1400001
9,1.32
10,1.3620001
11,1.29
12,1.32
13,1.3440001
14,1.47
15,1.536
16,1.5720001
17,1.692
18,1.608
19,1.674
20,1.746
21,1.746
22,1.7580001
23,1.8000001
24,2.028
25,1.8000001
26,1.812
27,1.9380001
28,2.22
29,1.9560001
30,2.118
31,2.1540003
32,2.1360002
33,2.2920003
34,2.286
35,2.3460002
36,2.322
37,2.52
38,2.4180002
39,2.5860002
