pic,p
0,0.0
1,0.202
2,0.32199997
3,0.362
4,0.4
5,0.43
6,0.45400003
7,0.478
8,0.49000004
9,0.463
10,0.49400002
11,0.47100002
12,0.49
13,0.508
14,0.48400003
15,0.515
16,0.521
17,0.512
18,0.5170001
19,0.53400004
