pic,p
0,0.0
1,-0.0019999892
2,0.019000009
3,0.02000001
4,0.044
5,0.09199999
6,0.081000015
7,0.08999999
8,0.11700001
9,0.105000004
10,0.117
11,0.14800002
12,0.12200001
13,0.14800002
14,0.17700002
15,0.19600001
16,0.22
17,0.191
18,0.19600001
19,0.20500001
