pic,p
0,0.0
1,-0.05399999
2,0.03399998
3,0.042000026
4,0.02000001
5,0.013999999
6,0.030000001
7,0.037999988
8,0.048000008
9,0.060000002
10,0.05400002
11,0.074
12,0.08000001
13,0.099999964
14,0.07799998
15,0.07200003
16,0.08400002
17,0.08200002
18,0.06799999
19,0.085999995
