pic,p
0,0.0
1,0.14633334
2,0.2873333
3,0.34299996
4,0.38066664
5,0.4606667
6,0.52400005
7,0.5806668
8,0.6333333
9,0.65500003
10,0.6906667
11,0.7216667
12,0.7116667
13,0.7513333
14,0.75100005
15,0.7886667
16,0.802
17,0.7906667
18,0.7926667
19,0.818
